Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Mode,Factor,Xover type,Mutation type,Iteration,Tardiness,Energy,N Generations,Execution Time
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,7,512,355.85733333333104,37,7.809141159057617
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,8,394,355.85733333333104,36,7.762377738952637
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,9,512,355.85733333333104,33,6.9898834228515625
24,4,5,12,200,10,15,100,25,GPMX,INV,0,1,10,394,355.85733333333104,38,8.181752443313599
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,1,1022,351.29733333331933,76,22.253393411636353
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,2,1022,351.2973333333192,58,17.645299673080444
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,3,1022,351.2973333333192,62,18.605727910995483
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,4,1022,351.2973333333192,84,24.636231422424316
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,5,1776,351.2973333333197,74,22.788103580474854
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,6,1586,351.2973333333197,62,19.03539276123047
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,7,1022,351.2973333333192,76,22.291879415512085
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,8,1320,351.29733333332007,53,15.881734132766724
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,9,1800,351.29733333331967,66,19.750976085662842
25,6,6,17,200,10,15,100,25,GPMX,INV,0,1,10,1002,351.2973333333192,83,24.25439715385437
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,1,1006,364.7999999999885,52,16.39050269126892
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,2,714,364.7999999999885,43,13.814820289611816
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,3,884,364.7999999999885,43,13.942586183547974
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,4,356,364.7999999999884,64,20.348786115646362
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,5,706,364.7999999999885,41,13.411457538604736
26,6,6,18,200,10,15,100,25,GPMX,INV,0,1,6,774,364.7999999999885,44,13.761043310165405
